pedido_id,cliente_id,data_pedido,valor_total
879,171,2024-06-25,1705.46
880,187,2024-03-17,6118.21
881,108,2024-05-11,3153.67
882,179,2024-03-30,4139.08
883,182,2024-03-29,3989.37
884,152,2024-04-03,4660.5
885,25,2024-01-07,6938.06
886,199,2024-04-04,7847.84
887,180,2024-04-17,3319.92
888,198,2024-03-14,6637.4
889,88,2024-02-08,6139.77
890,161,2024-05-20,4630.88
891,177,2024-06-07,7652.77
892,29,2024-03-11,1683.75
893,63,2024-02-25,963.19
894,150,2024-06-18,6846.3
895,154,2024-02-11,3569.28
896,156,2024-02-05,6791.05
897,114,2024-03-24,7155.41
898,49,2024-04-27,593.41
899,199,2024-01-07,7079.37
900,81,2024-02-23,3641.72
901,84,2024-05-08,4132.42
902,105,2024-06-20,5050.08
903,177,2024-04-29,7418.42
904,148,2024-06-21,251.02
905,118,2024-04-15,3867.06
906,86,2024-02-16,5533.0
907,63,2024-05-02,5809.38
908,189,2024-05-20,5571.01
909,104,2024-04-28,1162.04
910,49,2024-05-29,2465.23
911,71,2024-04-27,2933.85
912,1,2024-01-21,6455.05
913,141,2024-05-16,2302.2
914,179,2024-01-26,1764.57
915,123,2024-01-09,7663.84
916,184,2024-01-15,170.02
917,62,2024-01-10,7982.78
918,32,2024-05-01,5446.89
919,158,2024-04-30,6644.91
920,29,2024-05-04,2427.49
921,49,2024-06-18,213.09
922,173,2024-03-12,5929.17
923,30,2024-05-31,6689.74
924,144,2024-02-18,5949.76
925,168,2024-06-02,1228.52
926,19,2024-03-31,6052.08
927,18,2024-02-06,6174.49
928,1,2024-03-08,5302.47
929,78,2024-02-19,6152.32
930,115,2024-05-31,6782.78
931,175,2024-01-19,4947.47
932,194,2024-04-09,799.98
933,113,2024-02-29,3952.26
934,114,2024-06-15,713.43
935,166,2024-03-29,3319.59
936,179,2024-05-25,3316.14
937,63,2024-05-26,621.48
938,132,2024-06-12,2855.68
939,129,2024-03-09,976.88
940,8,2024-06-23,6485.06
941,157,2024-02-18,7586.74
942,55,2024-04-17,671.3
943,103,2024-06-09,7645.41
944,131,2024-04-28,4228.36
945,32,2024-05-28,2466.57
946,10,2024-05-29,707.21
947,110,2024-06-24,4054.93
948,162,2024-02-06,6376.67
949,124,2024-05-22,5685.98
950,87,2024-06-11,496.79
951,55,2024-06-08,675.92
952,32,2024-01-11,3282.7
953,178,2024-05-17,2432.79
954,135,2024-03-18,1935.84
955,93,2024-03-17,2319.94
956,8,2024-06-01,6447.51
957,65,2024-01-02,7440.9
958,57,2024-03-04,3300.31
959,67,2024-02-04,7258.28
960,187,2024-01-07,2639.82
961,72,2024-03-25,3863.85
962,54,2024-05-25,1885.63
963,67,2024-03-07,5159.76
964,51,2024-02-11,7833.95
965,97,2024-04-27,4867.6
966,92,2024-05-04,2926.73
967,8,2024-06-15,5217.76
968,162,2024-06-17,1071.07
969,35,2024-01-24,7120.41
970,96,2024-02-15,4074.36
971,88,2024-01-19,3649.86
972,78,2024-03-08,4728.33
973,32,2024-04-11,5035.79
974,120,2024-02-11,667.03
975,46,2024-02-01,5492.68
976,144,2024-06-15,2011.26
977,196,2024-04-18,5740.23
978,165,2024-02-05,6598.02
979,182,2024-04-06,6451.27
980,142,2024-06-12,4464.76
981,55,2024-05-10,4209.34
982,176,2024-03-13,1228.72
983,7,2024-05-15,6225.23
984,74,2024-04-06,2244.13
985,7,2024-05-02,4023.89
986,161,2024-03-10,2345.77
987,151,2024-06-17,1157.24
988,85,2024-01-13,5073.51
989,147,2024-02-18,529.22
990,112,2024-02-29,6014.3
991,125,2024-05-09,2608.94
992,147,2024-01-05,101.06
993,36,2024-06-20,4137.92
994,29,2024-01-27,470.13
995,188,2024-06-08,2281.74
996,82,2024-05-28,5685.11
997,2,2024-01-08,595.25
998,129,2024-02-19,6730.77
999,47,2024-03-07,130.18
1000,197,2024-02-13,2049.91
